lat,lon,comuna,candi_primero,votos_primero,porc_primero,partido_primero,candi_segundo,votos_segundo,porc_segundo,partido_segundo,candi_tercero,votos_tercero,porc_tercero,partido_tercero
-34.606273589523084,-58.37178395555325,01,Patricia Bullrich,31226,29.04,Juntos por el Cambio,Javier Milei,20714,19.26,La Libertad Avanza,Horacio R. Larreta,19075,17.74,Juntos por el Cambio
-34.586397499786315,-58.395685830214674,02,Patricia Bullrich,38869,43,Juntos por el Cambio,Horacio R. Larreta,20385,22.55,Juntos por el Cambio,Javier Milei,12473,13.8,La Libertad Avanza
-34.614068752150246,-58.402781381088936,03,Patricia Bullrich,24010,24.28,Juntos por el Cambio,Javier Milei,19510,19.73,La Libertad Avanza,Sergio Massa,18478,18.69,Unión por la Patria
-34.64320487375536,-58.38985804484997,04,Javier Milei,24587,21.85,La Libertad Avanza,Sergio Massa,23112,20.54,Unión por la Patria,Patricia Bullrich,23044,20.48,Juntos por el Cambio
-34.617419849916594,-58.420843813188995,05,Patricia Bullrich,24536,24.6,Juntos por el Cambio,Horacio R. Larreta,19327,19.38,Juntos por el Cambio,Sergio Massa,18787,18.83,Unión por la Patria
-34.617179673483626,-58.44336975096487,06,Patricia Bullrich,33955,30.01,Juntos por el Cambio,Horacio R. Larreta,24305,21.48,Juntos por el Cambio,Sergio Massa,18353,16.22,Unión por la Patria
-34.63595056947732,-58.45185688747931,07,Patricia Bullrich,29638,24.93,Juntos por el Cambio,Javier Milei,24100,20.27,La Libertad Avanza,Horacio R. Larreta,21986,18.49,Juntos por el Cambio
-34.67424483867537,-58.46176293950748,08,Javier Milei,25504,27.49,La Libertad Avanza,Sergio Massa,20682,22.3,Unión por la Patria,Patricia Bullrich,15320,16.51,Juntos por el Cambio
-34.65169807628709,-58.49877324926765,09,Patricia Bullrich,23426,23.44,Juntos por el Cambio,Javier Milei,22158,22.18,La Libertad Avanza,Sergio Massa,18812,18.83,Unión por la Patria
-34.62779174366602,-58.50291571827959,10,Patricia Bullrich,26249,25.66,Juntos por el Cambio,Horacio R. Larreta,19523,19.09,Juntos por el Cambio,Javier Milei,19447,19.01,La Libertad Avanza
-34.6063343324003,-58.49694657273107,11,Patricia Bullrich,35196,28.48,Juntos por el Cambio,Horacio R. Larreta,25088,20.3,Juntos por el Cambio,Javier Milei,21371,17.29,La Libertad Avanza
-34.566515352546304,-58.490095775226614,12,Patricia Bullrich,38665,28.55,Juntos por el Cambio,Horacio R. Larreta,30051,22.19,Juntos por el Cambio,Javier Milei,21857,16.14,La Libertad Avanza
-34.55439648967923,-58.45371798267517,13,Patricia Bullrich,54622,36.52,Juntos por el Cambio,Horacio R. Larreta,36959,24.71,Juntos por el Cambio,Javier Milei,20535,13.73,La Libertad Avanza
-34.57358247632684,-58.42240176603948,14,Patricia Bullrich,52539,37.94,Juntos por el Cambio,Horacio R. Larreta,32688,23.6,Juntos por el Cambio,Javier Milei,18612,13.44,La Libertad Avanza
-34.59208759663369,-58.461810134668525,15,Patricia Bullrich,24715,24.63,Juntos por el Cambio,Horacio R. Larreta,19832,19.76,Juntos por el Cambio,Sergio Massa,18443,18.38,Unión por la Patria
